lat,lon,timezone,timezone_offset,dt,sunrise,sunset,moonrise,moonset,moon_phase,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,clouds,pop,rain,uvi,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,weather_id,weather_main,weather_description,weather_icon,current,location
1.3521,103.8198,Asia/Singapore,28800,1646888400,1646867538,1646911090,1646888040,1646843580,0.25,1009,73,296.42,5.13,37,8.37,100,0.98,9.14,13.39,301.56,297.92,303.19,300.1,300.72,298.03,305.1,302.87,303.7,298.92,501,Rain,moderate rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1646974800,1646953920,1646997476,1646977440,1646932980,0.27,1008,60,294.75,5.13,11,8.15,67,0.41,0.23,14.43,303.1,297.9,303.98,298.86,301.17,297.9,305.89,299.55,304.27,298.78,500,Rain,light rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1647061200,1647040301,1647083861,1647066840,1647022380,0.3,1007,60,294.06,4.51,29,7.15,77,0.38,0.27,15.2,302.53,297.4,303.03,298.99,300.91,297.4,304.84,299.72,303.73,298.02,500,Rain,light rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1647147600,1647126682,1647170247,1647156360,1647111840,0.33,1007,66,295.27,4.27,15,7.05,99,0.3,0.18,14.38,302.22,297.77,302.22,300.45,300.94,297.79,305.3,303.13,304.05,298.58,500,Rain,light rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1647234000,1647213063,1647256632,1647245760,1647201300,0.36,1007,69,296.01,3.06,43,3.58,86,0.97,7.15,14.31,302.15,298.87,302.15,299.6,300.56,299.19,305.69,299.6,303.71,299.19,500,Rain,light rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1647320400,1647299443,1647343016,1647335160,1647290640,0.39,1007,71,296.25,2.86,43,3.43,65,0.94,10.89,15.0,301.84,298.38,301.84,299.59,299.86,298.9,305.38,299.59,302.18,299.78,501,Rain,moderate rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1647406800,1647385823,1647429401,1647424440,1647379920,0.43,1006,70,295.98,4.03,76,4.79,27,0.89,3.01,15.0,301.78,298.52,301.78,299.73,300.37,298.62,305.09,299.73,303.28,299.42,500,Rain,light rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1647493200,1647472203,1647515785,1647513660,1647469140,0.46,1007,69,295.79,3.28,46,4.08,71,0.92,7.71,15.0,301.78,298.56,301.82,299.6,300.49,298.94,304.92,299.6,303.44,299.79,500,Rain,light rain,10d,1646922263.202616,Singapore
1.3521,103.8198,Asia/Singapore,28800,1646888400,1646867538,1646911090,1646888040,1646843580,0.25,1009,73,296.42,5.13,37,8.37,100,0.98,9.14,13.39,301.56,297.92,303.19,300.1,300.72,298.03,305.1,302.87,303.7,298.92,501,Rain,moderate rain,10d,1646922578.9979472,Singapore
1.3521,103.8198,Asia/Singapore,28800,1646974800,1646953920,1646997476,1646977440,1646932980,0.27,1008,60,294.75,5.13,11,8.15,67,0.41,0.23,14.43,303.1,297.9,303.98,298.86,301.17,297.9,305.89,299.55,304.27,298.78,500,Rain,light rain,10d,1646922578.9979472,Singapore
